county_fips,year,population,youth_population,median_income,poverty_rate,pct_bachelors,pop_density
51099,2022,26985,6659,103264.0,6.928389130761146,34.85733355581512,150.22713608123456
51101,2022,17845,4069,79398.0,8.023958863084138,24.807956658850166,65.149136577708
51103,2022,10866,1595,62674.0,14.004890895410082,32.30346721592859,81.5117099005296
51105,2022,22287,4162,41619.0,25.980297469576975,11.51835606561317,51.19000041343384
51107,2022,420773,114948,170463.0,3.7547843258194615,63.50418482903242,815.8673897742455
51109,2022,38106,7615,76594.0,10.859823923243187,25.834079913993907,76.96968962466521
51111,2022,11988,2345,54438.0,13.03798610484526,11.103534492555973,27.76928422515636
51113,2022,13828,2768,74586.0,7.956215104319718,24.498269896193772,43.1263820059319
51115,2022,8537,1291,79054.0,6.837000236574403,29.8053152039555,99.37027854407468
51117,2022,30367,5594,51265.0,18.766609880749574,21.47019867549669,48.563112696102735
51119,2022,10738,1700,69389.0,9.650063359001852,29.587210689572895,82.39085398603544
51121,2022,99373,14994,65270.0,24.88733043370759,46.51703478494143,256.87933472406405
51125,2022,14773,2555,64028.0,13.241885101181584,30.433609211946745,31.38217081434747
51127,2022,23296,4447,113120.0,3.918889133788847,33.60655737704918,110.9153756058543
51131,2022,12132,2322,54693.0,16.741241029970453,29.338752196836555,57.304262394195895
51133,2022,12007,1774,64655.0,14.815125345853945,33.73455131649651,62.72201094905763
51135,2022,15638,3063,62366.0,19.09699719161806,16.053124164364025,49.740767836127105
51137,2022,36593,7731,87309.0,12.988457794465305,27.301514631261686,107.46369469773725
51139,2022,23753,4739,56760.0,10.035278616058147,14.697074406818706,76.61837899211979
51141,2022,17660,3073,49180.0,11.425911920414219,16.280784545052352,36.56662953407571
51143,2022,60541,11046,52619.0,16.409615352129332,14.987321500066727,62.477618748342366
51145,2022,30503,5491,108089.0,4.543239103188971,32.75591922005571,117.2281535115026
51147,2022,21922,3282,57304.0,18.1101884962725,26.904837179892503,62.64395078097763
51149,2022,42634,8343,80318.0,8.280671170189583,24.093376764386537,160.67565632278342
51153,2022,481114,128132,123193.0,6.049187497897251,43.6734984574246,1435.068828205396
51155,2022,33841,6037,59740.0,13.143526944076006,21.142363293526085,105.80635882428346
51157,2022,7422,1335,98663.0,7.64236439875558,33.81824712643678,27.86328893427237
51159,2022,8968,1552,62708.0,7.547169811320755,17.818717759764187,46.83566780517866
51161,2022,96653,19228,80872.0,7.075446660792577,37.529507704193314,385.766400051088
51163,2022,22673,4048,61903.0,8.892775460782994,30.164415736934817,38.00700027491501
51165,2022,83905,18363,73232.0,8.751390127952877,28.825127097987323,98.73569359162339
51167,2022,25763,4704,44088.0,19.322060496684845,12.551688039780162,54.40695719752325
51169,2022,21536,3867,44535.0,16.995513531767088,13.88252769697345,40.192076920349294
51171,2022,44337,9439,62149.0,12.556176571233033,20.685620315613043,87.26398847423333
51173,2022,29799,5718,45061.0,18.796474800330486,17.45135829662261,66.00877192982456
51175,2022,18003,3477,67813.0,8.364559410129337,18.96343306134784,30.04526064927002
51177,2022,141097,34535,105068.0,7.351776964717462,33.29135891303888,351.0155037216893
51179,2022,157606,41082,128036.0,5.375847697319228,43.07410471575464,585.4497501903754
51181,2022,6546,1107,68655.0,13.349700782568666,23.505735560474943,23.46665519503565
51183,2022,10866,1771,59195.0,12.741969793660923,15.396188565697091,22.165287030879636
51185,2022,40392,7943,46508.0,18.14828191105149,15.940485190021306,77.85794279391894
51187,2022,40800,8867,79313.0,11.963690162742296,22.425109978353465,190.1459649907723
51191,2022,53985,9308,59116.0,12.01280756256075,24.565935567202366,96.19685206337213
51193,2022,18480,3368,56647.0,16.04263459961738,17.641984184040258,80.58397216190053
51195,2022,36105,6860,47541.0,19.913863205132067,16.27110820479286,89.49286139202856
51197,2022,28275,5492,53921.0,17.209185863499783,20.098204399942233,61.20765793848712
51199,2022,70238,16390,105154.0,4.744865305172514,49.48875255623722,670.8436404618867
51510,2022,157594,28559,113179.0,8.824642300563726,66.00038439361906,10551.991965182457
51520,2022,17036,3393,45250.0,16.954211688854397,22.807873759557506,1323.5956802113278
51530,2022,6639,1419,48783.0,21.937181384640684,21.47117296222664,1031.2208760484623
51540,2022,46289,7200,67177.0,23.596281296023562,58.944112047865104,4518.204001952172
51550,2022,249377,60104,92703.0,7.637113368323305,35.761841354384636,736.8077386720873
51570,2022,18158,4241,72216.0,10.227400022403943,28.081491386769446,2414.9487963824977
51580,2022,5722,1285,45737.0,16.92170818505338,11.400651465798045,1046.2607423660631
51590,2022,42507,9334,41484.0,25.29634608334352,18.65010689198819,993.0845968740509
51595,2022,5680,1509,41442.0,17.324723247232473,16.470280178057084,822.7114716106605
51600,2022,24242,5605,128708.0,9.998288696842646,60.052683165890706,3884.31341131229
51610,2022,14576,3540,164536.0,2.326221610461115,78.87149917627677,7124.14467253177
51620,2022,8194,2105,57537.0,18.745332337565348,23.18430818165754,989.9722121541622
51630,2022,28258,5904,83445.0,18.03323029366306,43.475173107652246,2704.1148325358854
51640,2022,6687,1698,44612.0,22.416757855244647,17.46389891696751,811.9232637202525
51650,2022,137217,29283,64430.0,13.45983116902659,27.669761258875784,2666.4270029731256
51660,2022,51784,8497,56050.0,27.23229328121841,35.19314938154139,2987.0789109367793
51670,2022,23046,5895,50661.0,21.32404486505433,11.102225776356125,2225.8064516129034
51678,2022,7346,526,93651.0,16.630824372759857,60.231660231660236,2939.5758303321327
51680,2022,79166,15006,56243.0,17.53289329894654,37.98379430537323,1616.4243711205488
51683,2022,42620,11235,110559.0,4.740608228980322,34.53842819994221,4329.98069694199
51685,2022,17123,4159,91673.0,5.06128672805114,25.015376504700814,5643.704680290047
51690,2022,13539,3440,39127.0,24.583524377197005,20.297972443149995,1235.7612267250822
51700,2022,185118,42864,63355.0,14.665225809356567,28.677443239960397,2683.025102904516
51710,2022,236973,48050,60998.0,16.862237441015576,32.16710217051617,4448.108869075551
51720,2022,3668,624,36974.0,29.106548279689232,19.374068554396423,490.57108465962284
51730,2022,33261,7348,46930.0,22.211027660743728,21.761341308998823,1463.9524647887324
51735,2022,12479,2820,114503.0,4.49726951493736,38.44746770321253,812.5936055219119
51740,2022,97384,22449,57154.0,17.35733948366937,21.24742661075105,2924.3566259271493
51750,2022,16379,1944,51039.0,33.791291291291294,44.775303920229476,1692.7449359239354
51760,2022,227171,38916,59606.0,19.473904581364422,44.124794133184174,3790.921985815603
51770,2022,99213,22023,51523.0,19.113604660704027,28.41060838849561,2333.2706192234423
51775,2022,25372,4730,68402.0,9.615130855509127,32.522673444630584,1747.9848432655872
51790,2022,25581,4845,59731.0,11.442889091360888,33.562128888162555,1284.1867469879517
51800,2022,94856,22407,87758.0,9.434745140595577,32.08192182158491,237.63487462640953
